# Residuals     
# Time          	p               	sigmaxx         	sigmaxy         	sigmayy         	sigmazz         
1.09            	1.34735910e-01	5.52804211e-03	4.91822652e-03	3.21770901e-03	0.00000000e+00
1.095           	3.07082866e-01	5.51084430e-03	4.90523803e-03	3.37471280e-03	0.00000000e+00
1.1             	1.35381367e-01	5.49369623e-03	4.89233396e-03	2.67174110e-03	0.00000000e+00
1.105           	4.43788760e-01	5.47679057e-03	4.87954173e-03	2.76519163e-03	0.00000000e+00
1.11            	6.62310214e-01	5.46006739e-03	4.86681381e-03	2.09281304e-03	0.00000000e+00
1.115           	1.63744373e-01	5.44356791e-03	4.85416183e-03	2.10900348e-03	0.00000000e+00
1.12            	2.34056231e-01	5.42717195e-03	4.84158848e-03	2.34613821e-03	0.00000000e+00
1.125           	3.23370487e-01	5.41090779e-03	4.82909384e-03	3.17660053e-03	0.00000000e+00
1.13            	8.79078786e-01	5.39478322e-03	4.81667689e-03	2.65928110e-03	0.00000000e+00
1.135           	3.80157176e-01	5.37879925e-03	4.80433611e-03	2.03805532e-03	0.00000000e+00
1.14            	3.77050581e-01	5.36295439e-03	4.79207052e-03	2.65446347e-03	0.00000000e+00
1.145           	2.12635980e-01	5.34726819e-03	4.77987834e-03	3.28111954e-03	0.00000000e+00
1.15            	1.61304830e-01	5.33170068e-03	4.76775851e-03	2.07190062e-03	0.00000000e+00
1.155           	1.35978801e-01	5.31626123e-03	4.75570957e-03	2.44224785e-03	0.00000000e+00
1.16            	1.34783390e-01	5.30095081e-03	4.74373002e-03	1.90090430e-03	0.00000000e+00
1.165           	2.22710344e-01	5.28576816e-03	4.73171426e-03	2.89909115e-03	0.00000000e+00
1.17            	1.67564098e-01	5.27071122e-03	4.71983862e-03	2.42638882e-03	0.00000000e+00
1.175           	1.59402333e-01	5.25577959e-03	4.70809821e-03	1.65257505e-03	0.00000000e+00
1.18            	1.44736400e-01	5.24097096e-03	4.69639908e-03	1.98429764e-03	0.00000000e+00
1.185           	3.87927975e-01	5.22628312e-03	4.68475542e-03	2.79464790e-03	0.00000000e+00
1.19            	1.15208380e-01	5.21172967e-03	4.67317139e-03	2.25063155e-03	0.00000000e+00
1.195           	1.74818059e-01	5.19728123e-03	4.66164744e-03	1.86267094e-03	0.00000000e+00
1.2             	4.25082281e-01	5.18294410e-03	4.65018300e-03	3.35254070e-03	0.00000000e+00
1.205           	9.38079241e-01	5.16871932e-03	4.63880710e-03	2.94775206e-03	0.00000000e+00
1.21            	1.28168402e-01	5.15460565e-03	4.62746771e-03	2.37154674e-03	0.00000000e+00
1.215           	1.54932676e-01	5.14060181e-03	4.61611157e-03	1.90381738e-03	0.00000000e+00
1.22            	1.36996969e-01	5.12670549e-03	4.60470898e-03	1.67803007e-03	0.00000000e+00
1.225           	1.55800678e-01	5.11291553e-03	4.59336177e-03	3.05092623e-03	0.00000000e+00
1.23            	2.19042162e-01	5.09902509e-03	4.58206919e-03	2.52325490e-03	0.00000000e+00
1.235           	1.24285243e-01	5.08539247e-03	4.57083051e-03	3.62164778e-03	0.00000000e+00
1.24            	1.49793379e-01	5.07191101e-03	4.55964469e-03	3.00419264e-03	0.00000000e+00
1.245           	2.06277204e-01	5.05854454e-03	4.54851068e-03	1.93881154e-03	0.00000000e+00
1.25            	7.43168619e-01	5.04528099e-03	4.53742782e-03	2.61151359e-03	0.00000000e+00
1.255           	1.48880706e-01	5.03216429e-03	4.52634871e-03	2.49928400e-03	0.00000000e+00
1.26            	1.57513291e-01	5.01910573e-03	4.51520482e-03	2.46978779e-03	0.00000000e+00
1.265           	1.70449300e-01	5.00612782e-03	4.50404580e-03	2.38947265e-03	0.00000000e+00
1.27            	1.79542430e-01	4.99308357e-03	4.49298072e-03	2.82539566e-03	0.00000000e+00
1.275           	1.55229095e-01	4.98005967e-03	4.48197858e-03	1.97657792e-03	0.00000000e+00
1.28            	1.23184229e-01	4.96712599e-03	4.47102847e-03	2.91958596e-03	0.00000000e+00
1.285           	6.07806053e-01	4.95428080e-03	4.46012609e-03	3.14597824e-03	0.00000000e+00
1.29            	2.91246804e-01	4.94152248e-03	4.44926961e-03	2.07691592e-03	0.00000000e+00
1.295           	3.43643594e-01	4.92885037e-03	4.43845783e-03	2.31171736e-03	0.00000000e+00
1.3             	2.75117934e-01	4.91626335e-03	4.42768987e-03	1.93654384e-03	0.00000000e+00
1.305           	1.21973330e-01	4.90374840e-03	4.41699751e-03	1.81190774e-03	0.00000000e+00
1.31            	2.15842793e-01	4.89111390e-03	4.40632454e-03	2.03168674e-03	0.00000000e+00
1.315           	4.10173955e-01	4.87856152e-03	4.39568520e-03	1.61303238e-03	0.00000000e+00
1.32            	5.42078454e-01	4.86609007e-03	4.38508389e-03	2.87970986e-03	0.00000000e+00
1.325           	4.63287940e-01	4.85369941e-03	4.37452157e-03	2.16549784e-03	0.00000000e+00
1.33            	2.36566498e-01	4.84138695e-03	4.36399800e-03	3.12832811e-03	0.00000000e+00
1.335           	2.12060524e-01	4.82915149e-03	4.35351259e-03	2.99270012e-03	0.00000000e+00
1.34            	4.41992757e-01	4.81699244e-03	4.34306483e-03	2.40007155e-03	0.00000000e+00
1.345           	1.84745334e-01	4.80493907e-03	4.33265402e-03	4.22518014e-03	0.00000000e+00
1.35            	1.20944050e-01	4.79293607e-03	4.32227950e-03	2.87206200e-03	0.00000000e+00
1.355           	2.35317798e-01	4.78099795e-03	4.31194060e-03	2.73663634e-03	0.00000000e+00
1.36            	1.80737856e-01	4.76912746e-03	4.30156499e-03	3.50346635e-03	0.00000000e+00
1.365           	1.79502377e-01	4.75732641e-03	4.29127320e-03	2.90757507e-03	0.00000000e+00
1.37            	1.44584795e-01	4.74559414e-03	4.28103156e-03	2.92546915e-03	0.00000000e+00
