time_min,original_TskMean,original_TskHead,original_TskChest,original_TskLFoot,original_TcrChest,embedded_TskMean,embedded_TskHead,embedded_TskChest,embedded_TskLFoot,embedded_TcrChest,coupled_zero_flux_TskMean,coupled_zero_flux_TskHead,coupled_zero_flux_TskChest,coupled_zero_flux_TskLFoot,coupled_zero_flux_TcrChest
50.0,33.07506842765924,32.55349245249176,33.475769736622475,33.89920744162133,36.68304872556538,33.07506842765924,32.55349245249176,33.475769736622475,33.89920744162133,36.68304872556538,33.07506842765924,32.55349245249176,33.475769736622475,33.89920744162133,36.68304872556538
51.0,33.03317461744801,32.52218009783265,33.43328162598927,33.80547671243709,36.67719872015931,33.03317461744801,32.52218009783265,33.43328162598927,33.80547671243709,36.67719872015931,33.03317461744801,32.52218009783265,33.43328162598927,33.80547671243709,36.67719872015931
52.0,32.99320898752681,32.49409959741128,33.393688802090274,33.711021717933136,36.67163128729926,32.99320898752681,32.49409959741128,33.393688802090274,33.711021717933136,36.67163128729926,32.99320898752681,32.49409959741128,33.393688802090274,33.711021717933136,36.67163128729926
53.0,32.95502021359711,32.46895621964348,33.3567699264167,33.61579201420174,36.6663362573667,32.95502021359711,32.46895621964348,33.3567699264167,33.61579201420174,36.6663362573667,32.95502021359711,32.46895621964348,33.3567699264167,33.61579201420174,36.6663362573667
54.0,32.918473288475084,32.44647866247447,33.3223212717333,33.51974065837385,36.661303223486094,32.918473288475084,32.44647866247447,33.3223212717333,33.51974065837385,36.661303223486094,32.918473288475084,32.44647866247447,33.3223212717333,33.51974065837385,36.661303223486094
55.0,32.883447302328,32.42641774279352,33.29015536253116,33.42282376187054,36.65652168267467,32.883447302328,32.42641774279352,33.29015536253116,33.42282376187054,36.65652168267467,32.883447302328,32.42641774279352,33.29015536253116,33.42282376187054,36.65652168267467
56.0,32.84983358570105,32.40854501035189,33.26009969892425,33.32500010202312,36.65198114606697,32.84983358570105,32.40854501035189,33.26009969892425,33.32500010202312,36.65198114606697,32.84983358570105,32.40854501035189,33.26009969892425,33.32500010202312,36.65198114606697
57.0,32.817534146585665,32.39265135887877,33.23199556539504,33.22623078122849,36.64767122449369,32.817534146585665,32.39265135887877,33.23199556539504,33.22623078122849,36.64767122449369,32.817534146585665,32.39265135887877,33.23199556539504,33.22623078122849,36.64767122449369
58.0,32.78646034715287,32.378545669962975,33.20569692345824,33.12647892547757,36.643581694592136,32.78646034715287,32.378545669962975,33.20569692345824,33.12647892547757,36.643581694592136,32.78646034715287,32.378545669962975,33.20569692345824,33.12647892547757,36.643581694592136
59.0,32.75653177706432,32.36605350730433,33.18106938573515,33.02570941600834,36.63970254952513,32.75653177706432,32.36605350730433,33.18106938573515,33.02570941600834,36.63970254952513,32.75653177706432,32.36605350730433,33.18106938573515,33.02570941600834,36.63970254952513
60.0,32.72767528907279,32.355015870169666,33.15798926791709,32.92388864919169,36.636024037478386,32.72767528907279,32.355015870169666,33.15798926791709,32.92388864919169,36.636024037478386,32.72767528907279,32.355015870169666,33.15798926791709,32.92388864919169,36.636024037478386
61.0,32.699840439372295,32.345287089460726,33.13634214603541,32.82121272265785,36.632534302788784,32.699840439372295,32.345287089460726,33.13634214603541,32.82121272265785,36.632534302788784,32.699840439372295,32.345287089460726,33.13634214603541,32.82121272265785,36.632534302788784
62.0,32.67316488994632,32.336722799410616,33.11601523162925,32.72069641185398,36.62919073561715,32.67316488994632,32.336722799410616,33.11601523162925,32.72069641185398,36.62919073561715,32.67316488994632,32.336722799410616,33.11601523162925,32.72069641185398,36.62919073561715
63.0,32.64755879716273,32.32919592592414,33.096905294906094,32.6223736177975,36.62596116188674,32.64755879716273,32.32919592592414,33.096905294906094,32.6223736177975,36.62596116188674,32.64755879716273,32.32919592592414,33.096905294906094,32.6223736177975,36.62596116188674
64.0,32.622934231164294,32.32259573708272,33.07891712651006,32.52618898230193,36.62282655856043,32.622934231164294,32.32259573708272,33.07891712651006,32.52618898230193,36.62282655856043,32.622934231164294,32.32259573708272,33.07891712651006,32.52618898230193,36.62282655856043
65.0,32.59921300036244,32.3168263607022,33.06196345333936,32.432088269445345,36.6197763091856,32.59921300036244,32.3168263607022,33.06196345333936,32.432088269445345,36.6197763091856,32.59921300036244,32.3168263607022,33.06196345333936,32.432088269445345,36.6197763091856
66.0,32.576325832649594,32.3118040136219,33.0459645022715,32.34001741438332,36.61680438172127,32.576325832649594,32.3118040136219,33.0459645022715,32.34001741438332,36.61680438172127,32.576325832649594,32.3118040136219,33.0459645022715,32.34001741438332,36.61680438172127
67.0,32.55421125667703,32.30745452169285,33.030847429832214,32.24992240976501,36.61390712443936,32.55421125667703,32.30745452169285,33.030847429832214,32.24992240976501,36.61390712443936,32.55421125667703,32.30745452169285,33.030847429832214,32.24992240976501,36.61390712443936
68.0,32.532814578031136,32.303711493240485,33.01654573029545,32.16174998666616,36.6110821123721,32.532814578031136,32.303711493240485,33.01654573029545,32.16174998666616,36.6110821123721,32.532814578031136,32.303711493240485,33.01654573029545,32.16174998666616,36.6110821123721
69.0,32.51208698926404,32.300515057848074,33.002998667984315,32.07544819009235,36.60832755913976,32.51208698926404,32.300515057848074,33.002998667984315,32.07544819009235,36.60832755913976,32.51208698926404,32.300515057848074,33.002998667984315,32.07544819009235,36.60832755913976
70.0,32.49198480981841,32.2978109943181,32.990150750879785,31.990966704873255,36.60564201550833,32.49198480981841,32.2978109943181,32.990150750879785,31.990966704873255,36.60564201550833,32.49198480981841,32.2978109943181,32.990150750879785,31.990966704873255,36.60564201550833
71.0,32.47246883935581,32.29555010002385,32.97795125003447,31.90825699106169,36.60302421167643,32.47246883935581,32.29555010002385,32.97795125003447,31.90825699106169,36.60302421167643,32.47246883935581,32.29555010002385,32.97795125003447,31.90825699106169,36.60302421167643
72.0,32.453503806103754,32.293687702678824,32.966353763812855,31.82727230445766,36.60047297249081,32.453503806103754,32.293687702678824,32.966353763812855,31.82727230445766,36.60047297249081,32.453503806103754,32.293687702678824,32.966353763812855,31.82727230445766,36.60047297249081
73.0,32.435057893867594,32.292183255435894,32.95531582379718,31.74796765586823,36.59798717063196,32.435057893867594,32.292183255435894,32.95531582379718,31.74796765586823,36.59798717063196,32.435057893867594,32.292183255435894,32.95531582379718,31.74796765586823,36.59798717063196
74.0,32.41710233427245,32.29099998263032,32.94479853853457,31.670299741231467,36.59556570024283,32.41710233427245,32.29099998263032,32.94479853853457,31.670299741231467,36.59556570024283,32.41710233427245,32.29099998263032,32.94479853853457,31.670299741231467,36.59556570024283
75.0,32.399611053484975,32.290104559143685,32.93476627131067,31.594226860317445,36.59320746197701,32.399611053484975,32.290104559143685,32.93476627131067,31.594226860317445,36.59320746197701,32.399611053484975,32.290104559143685,32.93476627131067,31.594226860317445,36.59320746197701
76.0,32.38256036483335,32.289466814980436,32.925186348417036,31.5197088332077,36.590911354660406,32.38256036483335,32.289466814980436,32.925186348417036,31.5197088332077,36.590911354660406,32.38256036483335,32.289466814980436,32.925186348417036,31.5197088332077,36.590911354660406
77.0,32.36592870041762,32.28905946107907,32.91602879474441,31.446706919038412,36.588676270907214,32.36592870041762,32.28905946107907,32.91602879474441,31.446706919038412,36.588676270907214,32.36592870041762,32.28905946107907,32.91602879474441,31.446706919038412,36.588676270907214
