time_s,flow_m3_s,pressure_Pa
2.853871574314865711e-01,3.401482074961601295e-05,2.699184334927787422e+05
2.861522704540910844e-01,3.591811100707470477e-05,2.699183765023974120e+05
2.869173834766955977e-01,3.763375173873325063e-05,2.699183833177057095e+05
2.876824964993001110e-01,3.916982097641937834e-05,2.699184416915313923e+05
2.884476095219046243e-01,4.053439675196078860e-05,2.699185403272550320e+05
2.892127225445091376e-01,4.173555709718520244e-05,2.699186688788098982e+05
2.899778355671136509e-01,4.278138004392036120e-05,2.699188179506818415e+05
2.907429485897181642e-01,4.367994362399395204e-05,2.699189790979095269e+05
2.915080616123226775e-01,4.443932586923372309e-05,2.699191448260841426e+05
2.922731746349271909e-01,4.506760481146734795e-05,2.699193085913497489e+05
2.930382876575317042e-01,4.557278549011068922e-05,2.699194621958755888e+05
2.938034006801362175e-01,4.596152790007979928e-05,2.699195880973789026e+05
2.945685137027407308e-01,4.623930983125323257e-05,2.699196808521242929e+05
2.953336267253452441e-01,4.641156881909862101e-05,2.699197377184664365e+05
2.960987397479497574e-01,4.648374239908364399e-05,2.699197569053126499e+05
2.968638527705542707e-01,4.646126810667591312e-05,2.699197381448141532e+05
2.976289657931587840e-01,4.634958347734308067e-05,2.699196893241035868e+05
2.983940788157632973e-01,4.615412604655278535e-05,2.699196096937443363e+05
2.991591918383678106e-01,4.588033334977267944e-05,2.699194955323132453e+05
2.999243048609723239e-01,4.553364292247038132e-05,2.699193438412933028e+05
3.006894178835768372e-01,4.511949230011355681e-05,2.699191523450736422e+05
3.014545309061813505e-01,4.464331901816982431e-05,2.699189194909497164e+05
3.022196439287858638e-01,4.411056061210685641e-05,2.699186444491231232e+05
3.029847569513903771e-01,4.352665461739227149e-05,2.699183271127015469e+05
3.037498699739948904e-01,4.289703856949370829e-05,2.699179680976988166e+05
3.045149829965994037e-01,4.222715000387883261e-05,2.699175687430351973e+05
3.052800960192039170e-01,4.152242645601527640e-05,2.699171311105368077e+05
3.060452090418084303e-01,4.078830546137065806e-05,2.699166579849360278e+05
3.068103220644129436e-01,4.003022455541264339e-05,2.699161528738716734e+05
3.075754350870174569e-01,3.925362127360886434e-05,2.699156200078883558e+05
3.083405481096219702e-01,3.846393315142697996e-05,2.699150643404371222e+05
3.091056611322264835e-01,3.766659772433460864e-05,2.699144915478751063e+05
3.098707741548309968e-01,3.686705252779940264e-05,2.699139080294655287e+05
3.106358871774355102e-01,3.607073509728901423e-05,2.699133209073779290e+05
3.114010002000400235e-01,3.528308296827106858e-05,2.699127380266881082e+05
3.121661132226445368e-01,3.450953367621320441e-05,2.699121679553777212e+05
3.129312262452490501e-01,3.375552475658308077e-05,2.699116189390977379e+05
3.136963392678535634e-01,3.302631866380578382e-05,2.699110795151415514e+05
3.144614522904580767e-01,3.232454944835405392e-05,2.699105245506234351e+05
3.152265653130625900e-01,3.165082336525475723e-05,2.699099534106450737e+05
3.159916783356671033e-01,3.100569425020496459e-05,2.699093680875543505e+05
3.167567913582716166e-01,3.038971593890169259e-05,2.699087706370959640e+05
3.175219043808761299e-01,2.980344226704199852e-05,2.699081631784116034e+05
3.182870174034806432e-01,2.924742707032292269e-05,2.699075478940394241e+05
3.190521304260851565e-01,2.872222418444150883e-05,2.699069270299146883e+05
3.198172434486901139e-01,2.822838744509452284e-05,2.699063028953692992e+05
3.205823564712946272e-01,2.776647068797958101e-05,2.699056778631319175e+05
3.213474694938991405e-01,2.733702774879343231e-05,2.699050543693280197e+05
3.221125825165036538e-01,2.694061246323311705e-05,2.699044349134800141e+05
3.228776955391081671e-01,2.657777866699567558e-05,2.699038220585069503e+05
3.236428085617126804e-01,2.624908019577816177e-05,2.699032184307247517e+05
3.244079215843171937e-01,2.595507088527761256e-05,2.699026267198460991e+05
3.251730346069217070e-01,2.569630457119106829e-05,2.699020496789803728e+05
3.259381476295262203e-01,2.547333508921557267e-05,2.699014901246340596e+05
3.267032606521307336e-01,2.528671627504817620e-05,2.699009509367100545e+05
3.274683736747352469e-01,2.513700196438591243e-05,2.699004350585083012e+05
3.282334866973397602e-01,2.502474599292582846e-05,2.698999454967255006e+05
3.289985997199442735e-01,2.495050219636497818e-05,2.698994838689404423e+05
3.297637127425487868e-01,2.491482441040038497e-05,2.698990391651548562e+05
3.305288257651533002e-01,2.491826647072910612e-05,2.698986120091758785e+05
3.312939387877578135e-01,2.496138221304817855e-05,2.698982065318648238e+05
3.320590518103623268e-01,2.504472547305464938e-05,2.698978264669274795e+05
3.328241648329668401e-01,2.516885008644555893e-05,2.698974751509148628e+05
3.335892778555713534e-01,2.533430988891795431e-05,2.698971555232229875e+05
3.343543908781758667e-01,2.554165871616887246e-05,2.698968701260923990e+05
3.351195039007803800e-01,2.579145040389536388e-05,2.698966211046089884e+05
3.358846169233848933e-01,2.608423878779446889e-05,2.698964102067032945e+05
3.366497299459894066e-01,2.642057770356322444e-05,2.698962387831509113e+05
