time,field,initial,final
26.0,p,0.383788,0.00918411
27.0,p,0.429595,0.0115963
28.0,p,0.567421,0.0135308
29.0,p,0.354969,0.00555957
30.0,p,0.313605,0.00714141
31.0,p,0.378411,0.0103022
32.0,p,0.589766,0.01522
33.0,p,0.373933,0.00752876
34.0,p,0.341717,0.00660137
35.0,p,0.414188,0.00886231
36.0,p,0.50335,0.0125842
37.0,p,0.34432,0.00913052
38.0,p,0.303537,0.00658012
39.0,p,0.324174,0.00658506
40.0,p,0.462738,0.0123179
41.0,p,0.467181,0.0121947
42.0,p,0.385187,0.0105307
43.0,p,0.363285,0.00750016
44.0,p,0.451101,0.00930155
45.0,p,0.35915,0.0100772
46.0,p,0.302079,0.00891445
47.0,p,0.273937,0.00663629
48.0,p,0.25664,0.00419506
49.0,p,0.278853,0.010512
50.0,p,0.276273,0.00987278
51.0,p,0.254753,0.00577177
52.0,p,0.219411,0.0200418
53.0,p,0.199974,0.00338079
54.0,p,0.154167,0.00492349
55.0,p,0.130473,0.00470507
56.0,p,0.114459,0.0029254
57.0,p,0.108755,0.0103401
58.0,p,0.106184,0.00244119
59.0,p,0.102578,0.00411768
60.0,p,0.0902124,0.00306505
61.0,p,0.0736132,0.00183405
62.0,p,0.0595981,0.00130653
63.0,p,0.0520485,0.00171458
64.0,p,0.0444215,0.0016129
65.0,p,0.0380061,0.00101516
66.0,p,0.0358875,0.000759633
67.0,p,0.0341579,0.000976577
68.0,p,0.0292033,0.00104439
69.0,p,0.0243927,0.000659512
70.0,p,0.0205293,0.000351153
71.0,p,0.0179376,0.0003183
72.0,p,0.0159848,0.00156551
73.0,p,0.0144921,0.000262074
74.0,p,0.0122093,0.000156397
75.0,p,0.0105985,0.000180417
76.0,p,0.00904696,0.000224112
77.0,p,0.00723419,0.000177762
78.0,p,0.00601297,9.43513e-05
79.0,p,0.00536061,9.7957e-05
80.0,p,0.00459798,0.00011679
81.0,p,0.00396154,0.000112238
82.0,p,0.0033264,4.87428e-05
83.0,p,0.00271614,5.08311e-05
84.0,p,0.00217672,5.26723e-05
85.0,p,0.00187628,5.12092e-05
86.0,p,0.00165951,2.63602e-05
87.0,p,0.00142737,2.20591e-05
88.0,p,0.00117315,2.359e-05
89.0,p,0.000944066,1.99254e-05
90.0,p,0.000761816,1.95935e-05
91.0,p,0.000673104,1.31603e-05
92.0,p,0.000596056,8.7044e-06
93.0,p,0.000521823,6.92977e-06
94.0,p,0.000430491,1.09762e-05
95.0,p,0.000351476,7.53046e-06
96.0,p,0.000316273,3.09498e-05
97.0,p,0.000300274,2.87207e-05
98.0,p,0.000276357,4.15531e-06
99.0,p,0.000230572,3.56584e-06
100.0,p,0.000199973,4.52829e-06
101.0,p,0.000178327,3.44971e-06
102.0,p,0.000160977,1.55345e-05
103.0,p,0.000153109,2.69388e-06
104.0,p,0.000132019,1.31164e-05
105.0,p,0.000122849,3.35785e-06
106.0,p,0.000106975,1.94086e-06
107.0,p,9.36012e-05,1.52883e-06
